Precinct,race,Dem,GOP
21001A102,51,NA,191
21001A104,51,NA,322
21001A105,51,NA,266
21001AB,51,NA,469
21001B102,51,NA,502
21001B104,51,NA,364
21001C102,51,NA,364
21001C104,51,NA,454
21001D101,51,NA,327
21001D103,51,NA,296
21001D104,51,NA,309
21001E101,51,NA,377
21001E104,51,NA,525
21001F101,51,NA,588
21001F103,51,NA,358
21001G101,51,NA,453
21001G102,51,NA,591
21005A101,53,284,401
21005A102,53,241,497
21005AB,53,179,368
21005B101,53,255,485
21005B102,53,379,778
21005C101,53,244,540
21005C102,53,265,552
21005D101,53,190,552
21005D102,53,337,664
21005E101,53,471,915
21005E103,53,217,468
21005F101,53,173,382
21005F102,53,120,274
21005F103,53,95,170
21005F104,53,223,465
21007A101,1,54,214
21007A102,1,173,460
21007A103,1,21,96
21007AB,1,31,123
21007B101,1,155,341
21007B102,1,34,114
21007C101,1,45,165
21007C102,1,58,196
21007C103,1,37,128
21007C104,1,74,195
21007D101,1,172,373
21007D102,1,91,155
21007E101,1,111,256
21007E102,1,52,185
21011A101,72,103,87
21011A102,72,131,93
21011A103,72,94,90
21011A104,72,76,71
21011A105,72,308,271
21011AB,72,204,117
21011B102,72,221,138
21011B103,72,368,286
21011B104,72,193,253
21011C101,72,232,181
21011C102,72,245,157
21011C103,72,167,91
21011C104,72,171,104
21013A101,87,250,130
21013A102,87,218,129
21013A103,87,109,135
21013A104,87,158,134
21013A105,87,158,158
21013AB,87,441,244
21013B101,87,89,60
21013B102,87,100,103
21013B103,87,142,121
21013B104,87,187,141
21013B105,87,89,59
21013B106,87,29,12
21013B107,87,215,150
21013B108,87,112,67
21013C101,87,188,146
21013C102,87,161,83
21013C103,87,161,113
21013C104,87,230,145
21013C105,87,305,214
21013D101,87,137,91
21013D102,87,213,153
21013D103,87,194,113
21013D104,87,122,59
21013D105,87,129,133
21013D106,87,254,159
21013E101,87,298,183
21013E102,87,151,102
21013E103,87,202,132
21013E104,87,217,155
21013E105,87,191,132
21013E106,87,173,200
21015A102,60,NA,350
21015A103,66,NA,946
21015A104,66,NA,837
21015A105,60,NA,432
21015A106,60,NA,398
21015A107,63,NA,278
21015A108,66,NA,850
21015A109,66,NA,910
21015A110,66,NA,461
21015A111,66,NA,733
21015A112,66,NA,586
21015A113,66,NA,767
21015A114,66,NA,1105
21015A115,66,NA,908
21015A116,66,NA,505
21015A117,66,NA,1039
21015A118,60,NA,631
21015A119,63,NA,280
21015A120,60,NA,1044
21015A121,66,NA,1196
21015A122,66,NA,562
21015A123,66,NA,881
21015AB,60,NA,1812
21015AB,61,14,53
21015AB,63,NA,208
21015AB,66,NA,1607
21015AB,69,NA,269
21015B114,60,NA,649
21015B115,66,NA,439
21015B116,63,NA,566
21015B117,66,NA,859
21015B118,66,NA,339
21015B119,63,NA,390
21015B120,66,NA,583
21015B121,60,NA,1262
21015B122,60,NA,699
21015B123,60,NA,1149
21015B124,60,NA,882
21015B125,60,NA,955
21015B126,61,170,616
21015B127,60,NA,903
21015B128,60,NA,719
21015B129,60,NA,854
21015B130,60,NA,1605
21015B131,66,NA,858
21015B132,66,NA,978
21015B133,60,NA,892
21015B134,60,NA,690
21015C102,60,NA,823
21015C110,60,NA,771
21015C117,60,NA,621
21015C121,60,NA,613
21015C123,63,NA,291
21015C124,69,NA,527
21015C125,69,NA,327
21015C126,69,NA,210
21015C127,69,NA,444
21015C128,69,NA,355
21015C129,69,NA,442
21015C130,69,NA,687
21015C131,69,NA,587
21015C132,69,NA,528
21015C133,69,NA,267
21015C134,60,NA,983
21015C135,63,NA,565
21015C136,69,NA,436
21015C137,66,NA,794
21017AB,72,309,238
21017B101,72,315,291
21017B103,72,212,161
21017C101,72,205,213
21017C102,72,90,103
21017C103,72,292,189
21017D101,72,354,310
21017D103,72,220,181
21017E101,72,309,363
21017E103,72,291,240
21017F101,72,250,261
21017F102,72,296,302
21017F103,72,119,187
21017G101,72,302,345
21017G102,72,319,283
21017H101,72,312,332
21017H102,72,389,141
21019A101,100,304,207
21019A107,100,261,386
21019A108,100,295,518
21019A109,100,247,423
21019A110,100,231,193
21019A111,100,204,166
21019A113,100,206,200
21019A114A,100,77,47
21019A115,100,255,177
21019A116,100,230,144
21019A118,100,210,525
21019A119,100,148,253
21019A121,100,166,242
21019A122,100,3,6
21019AB4,100,743,574
21019AB4,98,78,84
21019AB5,100,114,176
21019AB5,98,12,18
21019B101A,100,191,145
21019B102A,100,243,156
21019B103A,100,195,153
21019B105,100,186,136
21019B106A,100,225,175
21019B107,100,176,125
21019B108,100,231,168
21019B109,100,248,195
21019B110,100,289,182
21019B114,100,250,143
21019B115,100,312,237
21019B116,100,208,156
21019B117,100,173,145
21019B118,100,152,167
21019B119,100,185,198
21019B121A,100,213,200
21019C102,100,167,205
21019C103,98,142,173
21019C104,98,180,293
21019C105,100,243,183
21019C106,100,208,208
21019C107,100,160,135
21019C108,100,198,173
21019C109A,100,125,96
21019C110,100,3,0
21019C111,100,66,61
21019C112,98,211,226
21019C113,98,217,279
21019C114,100,196,284
21019C115,100,302,319
21019C116,100,224,257
21019C117,100,152,216
21021A101,54,142,366
21021A102,54,216,391
21021A103,54,74,223
21021A104,54,122,403
21021A105,54,53,112
21021AB,54,343,459
21021B101,54,58,160
21021B102,54,147,311
21021B103,54,306,485
21021B104,54,168,326
21021C101,54,252,282
21021C102,54,261,293
21021C103,54,119,127
21021C104,54,246,137
21021D101,54,324,369
21021D102,54,260,449
21021D103,54,255,446
21021E101,54,265,244
21021E102,54,247,221
21021E103,54,169,114
21021E104,54,292,113
21021F101,54,215,193
21021F102,54,212,248
21021F103,54,219,393
21021F104,54,199,244
21021F105,54,166,177
21029A101,49,70,71
21029A102,26,NA,405
21029A103,26,NA,472
21029A104,49,278,230
21029A105,26,NA,785
21029A106,26,NA,814
21029A107,26,NA,852
21029A108,26,NA,338
21029A110,49,44,49
21029A111,49,344,322
21029A112,26,NA,795
21029A113,49,357,337
21029AB,26,NA,550
21029AB,49,405,391
21029AB,53,16,67
21029B101,49,141,123
21029B102,49,402,390
21029B103,26,NA,885
21029B104,49,540,570
21029B108,26,NA,1079
21029B109,53,311,861
21029B110,49,500,508
21029B111,49,448,472
21029B112,53,105,306
21029B113,26,NA,702
21029B114,26,NA,692
21029C101,26,NA,558
21029C102,49,334,292
21029C103,49,439,444
21029C104,49,300,295
21029C105,49,283,255
21029C106,49,289,273
21029C107,49,477,490
21029C108,49,401,376
21029C109,49,291,440
21029C110,26,NA,592
21029C111,49,113,105
21029C112,49,242,215
21029C113,26,NA,341
21029D101,49,172,132
21029D102,49,371,312
21029D103,49,369,364
21029D104,49,190,215
21029D105,49,433,617
21029D106,49,355,442
21029D107,26,NA,832
21029D108,26,NA,506
21029D110,26,NA,759
21029D111,49,303,241
21029D113,49,160,235
21029D114,49,135,136
21033A101,4,NA,354
21033A102,4,NA,277
21033A103,4,NA,410
21033AB,4,NA,275
21033B101,4,NA,463
21033B102,4,NA,312
21033B103,4,NA,247
21033C101,4,NA,391
21033C102,4,NA,242
21033C103,4,NA,378
21033D101,4,NA,298
21033D102,4,NA,176
21033D103,4,NA,408
21033D104,4,NA,337
21035A101,5,306,267
21035A102,5,150,126
21035A103,5,270,824
21035A104,5,74,355
21035A105,5,114,311
21035A106,5,110,374
