Donald J. TRUMP / Michael R. PENCE,Hillary Rodham CLINTON / Timothy Michael KAINE,Gary JOHNSON / Bill WELD,Rocky Roque DE LA FUENTE / Michael STEINBERG,Jill STEIN / Ajamu BARAKA,Evan McMULLIN / Nathan JOHNSON,Precinct
436,97,9,0,0,8,21001AB
215,10,1,0,3,2,21001A102
359,28,6,0,3,3,21001A104
288,30,2,1,0,2,21001A105
422,148,14,1,6,9,21001B102
387,49,8,0,1,1,21001B104
341,89,13,0,1,13,21001C102
456,88,8,0,5,11,21001C104
328,44,1,0,0,1,21001D101
306,44,3,0,3,2,21001D103
275,103,5,0,3,1,21001D104
420,40,6,0,0,3,21001E101
473,152,12,0,3,10,21001E104
585,130,11,0,4,5,21001F101
349,63,11,0,1,2,21001F103
443,95,13,1,0,10,21001G101
554,113,18,0,2,9,21001G102
345,112,13,1,3,4,21003AB
411,150,13,0,7,3,21003A101
513,85,21,0,4,2,21003A102
545,104,8,2,0,7,21003B101
468,67,8,1,4,2,21003B102
230,49,5,0,4,0,21003B103
576,144,21,1,4,7,21003C101
710,136,22,0,2,11,21003C102
739,152,14,0,7,10,21003D101
325,57,6,0,0,4,21003D102
529,109,4,0,1,3,21003D103
235,41,3,0,0,1,21003E101
510,104,15,1,8,3,21003E102
330,39,8,0,2,6,21003E103
362,165,20,1,3,14,21005AB
435,223,22,0,5,14,21005A101
568,153,25,2,4,9,21005A102
524,200,20,0,4,5,21005B101
839,275,43,0,4,20,21005B102
550,211,24,0,2,9,21005C101
588,211,15,0,5,21,21005C102
601,129,17,0,1,12,21005D101
744,238,26,0,2,16,21005D102
1040,290,40,2,11,14,21005E101
524,135,20,0,8,9,21005E103
430,115,15,0,3,5,21005F101
313,75,10,1,0,4,21005F102
205,56,6,0,0,1,21005F103
519,158,16,0,2,12,21005F104
115,27,4,0,0,4,21007AB
224,37,3,0,1,0,21007A101
457,151,8,1,4,8,21007A102
103,11,2,0,0,0,21007A103
338,143,10,0,5,3,21007B101
116,25,4,0,0,0,21007B102
162,40,2,0,0,2,21007C101
194,48,8,0,1,0,21007C102
135,27,2,0,1,2,21007C103
211,51,9,1,0,1,21007C104
401,123,14,0,6,1,21007D101
205,36,3,1,0,1,21007D102
293,69,5,1,2,1,21007E101
207,28,3,0,0,0,21007E102
725,305,23,0,4,13,21009AB
436,257,12,0,4,7,21009A101
226,218,13,0,5,9,21009A102
510,183,28,0,5,5,21009A103
156,36,6,0,3,2,21009A104
738,152,24,0,3,7,21009B101
604,144,21,1,0,6,21009B102
338,57,16,0,0,8,21009B103
577,150,16,0,5,5,21009B104
363,86,16,1,0,4,21009C101
534,120,12,0,2,8,21009C102
508,130,18,0,2,7,21009C103
613,109,17,0,4,2,21009C104
587,109,21,0,2,2,21009D101
898,196,23,2,3,8,21009D102
581,272,14,0,3,11,21009D103
454,145,13,0,3,5,21009E101
366,120,12,0,2,3,21009E102
574,125,17,0,4,4,21009E103
610,131,21,1,2,5,21009E104
418,143,12,0,1,7,21009F101
542,185,29,1,4,8,21009F102
717,261,19,0,5,2,21009F103
613,253,21,3,13,15,21009G101
327,178,15,0,6,3,21009G102
468,210,16,1,8,11,21009G103
221,112,0,0,0,2,21011AB
115,66,3,0,4,4,21011A101
138,89,4,0,0,3,21011A102
142,42,5,0,1,1,21011A103
113,40,2,0,0,1,21011A104
404,170,5,0,2,3,21011A105
237,118,9,2,3,1,21011B102
463,188,16,0,4,4,21011B103
347,96,7,1,3,3,21011B104
291,131,8,1,3,2,21011C101
279,112,10,1,2,8,21011C102
154,103,3,1,2,1,21011C103
178,94,3,0,0,2,21011C104
521,149,9,0,5,5,21013AB
335,39,8,0,2,1,21013A101
286,57,4,0,0,0,21013A102
231,17,1,0,0,0,21013A103
253,40,7,0,1,0,21013A104
271,46,1,0,2,1,21013A105
107,43,1,0,0,0,21013B101
173,34,6,0,0,0,21013B102
221,44,0,0,0,0,21013B103
272,52,3,1,0,2,21013B104
107,40,2,1,0,0,21013B105
32,9,0,0,0,0,21013B106
335,37,3,0,1,0,21013B107
148,25,3,0,0,2,21013B108
266,63,7,0,1,3,21013C101
196,51,4,0,0,0,21013C102
204,62,5,1,1,3,21013C103
280,84,7,0,4,1,21013C104
422,83,8,0,3,3,21013C105
149,67,8,0,2,1,21013D101
255,121,9,0,3,3,21013D102
226,78,2,1,2,1,21013D103
105,68,6,0,2,1,21013D104
198,57,5,0,2,4,21013D105
309,92,8,0,6,3,21013D106
390,76,4,0,1,2,21013E101
222,27,5,0,0,0,21013E102
287,45,6,0,1,3,21013E103
323,55,2,0,2,1,21013E104
296,26,5,0,0,3,21013E105
344,33,5,0,1,1,21013E106
3291,1424,162,2,21,41,21015AB
323,85,13,0,2,1,21015A102
843,207,40,0,9,16,21015A103
759,176,31,0,7,14,21015A104
381,109,20,0,1,6,21015A105
362,100,12,0,1,2,21015A106
230,88,12,0,2,6,21015A107
687,254,43,0,4,15,21015A108
741,280,61,0,7,11,21015A109
438,100,19,0,1,6,21015A110
591,273,36,2,6,8,21015A111
476,156,31,0,6,10,21015A112
632,263,33,0,12,12,21015A113
927,285,60,1,8,11,21015A114
755,285,51,0,3,5,21015A115
410,135,18,0,5,10,21015A116
847,313,58,1,7,25,21015A117
603,149,19,0,2,7,21015A118
265,90,13,0,2,5,21015A119
933,258,44,0,2,11,21015A120
982,358,62,1,6,26,21015A121
481,139,39,0,1,9,21015A122
710,268,51,0,6,15,21015A123
610,128,25,0,2,8,21015B114
333,145,28,0,11,10,21015B115
485,188,24,0,4,7,21015B116
705,292,52,0,3,25,21015B117
273,143,22,0,4,6,21015B118
317,163,21,0,6,8,21015B119
493,183,21,0,1,14,21015B120
1061,380,55,1,10,21,21015B121
635,196,19,0,4,6,21015B122
940,366,51,0,10,36,21015B123
727,277,44,1,2,16,21015B124
745,299,65,0,10,28,21015B125
635,147,28,0,3,6,21015B126
779,227,42,0,12,20,21015B127
647,160,33,0,10,9,21015B128
667,253,58,0,9,16,21015B129
1300,490,65,0,13,28,21015B130
694,308,50,1,16,10,21015B131
769,344,59,3,9,15,21015B132
705,301,69,0,9,30,21015B133
