Precinct,race,Dem,GOP
21001A102,1,18,188
21001A104,1,49,304
21001A105,1,44,253
21001AB,1,99,430
21001B102,1,148,415
21001B104,1,58,342
21001C102,1,81,341
21001C104,1,96,421
21001D101,1,33,310
21001D103,1,52,285
21001D104,1,91,257
21001E101,1,40,380
21001E104,1,129,471
21001F101,1,114,557
21001F103,1,72,315
21001G101,1,99,412
21001G102,1,120,532
21003A101,1,129,429
21003A102,1,96,510
21003AB,1,103,363
21003B101,1,95,542
21003B102,1,70,466
21003B103,1,45,232
21003C101,1,121,594
21003C102,1,112,719
21003D101,1,144,756
21003D102,1,67,314
21003D103,1,107,527
21003E101,1,46,224
21003E102,1,128,488
21003E103,1,48,326
21005A101,6,247,447
21005A102,6,182,564
21005AB,6,159,402
21005B101,6,211,541
21005B102,6,291,893
21005C101,6,217,585
21005C102,6,246,583
21005D101,6,143,611
21005D102,6,258,762
21005E101,6,320,1077
21005E103,6,151,541
21005F101,6,123,435
21005F102,6,97,299
21005F103,6,64,204
21005F104,6,168,527
21007A101,1,49,215
21007A102,1,164,459
21007A103,1,16,97
21007AB,1,31,117
21007B101,1,155,329
21007B102,1,27,119
21007C101,1,43,161
21007C102,1,62,189
21007C103,1,37,125
21007C104,1,69,193
21007D101,1,144,391
21007D102,1,53,184
21007E101,1,92,268
21007E102,1,45,184
21009A101,2,NA,504
21009A102,2,NA,320
21009A103,2,NA,578
21009A104,2,NA,157
21009AB,2,NA,825
21009B101,2,NA,742
21009B102,2,NA,605
21009B103,2,NA,319
21009B104,2,NA,582
21009C101,2,NA,359
21009C102,2,NA,549
21009C103,2,NA,489
21009C104,2,NA,593
21009D101,2,NA,570
21009D102,2,NA,890
21009D103,2,NA,644
21009E101,2,NA,474
21009E102,2,NA,397
21009E103,2,NA,594
21009E104,2,NA,640
21009F101,2,NA,448
21009F102,2,NA,593
21009F103,2,NA,793
21009G101,2,NA,728
21009G102,2,NA,388
21009G103,2,NA,541
21011A101,6,60,125
21011A102,6,94,130
21011A103,6,50,136
21011A104,6,41,109
21011A105,6,155,428
21011AB,6,111,215
21011B102,6,129,236
21011B103,6,192,467
21011B104,6,105,342
21011C101,6,130,290
21011C102,6,129,277
21011C103,6,102,157
21011C104,6,99,175
21013A101,5,NA,318
21013A102,5,NA,268
21013A103,5,NA,217
21013A104,5,NA,247
21013A105,5,NA,273
21013AB,5,NA,571
21013B101,5,NA,121
21013B102,5,NA,173
21013B103,5,NA,208
21013B104,5,NA,268
21013B105,5,NA,113
21013B106,5,NA,39
21013B107,5,NA,307
21013B108,5,NA,150
21013C101,5,NA,268
21013C102,5,NA,197
21013C103,5,NA,223
21013C104,5,NA,312
21013C105,5,NA,434
21013D101,5,NA,166
21013D102,5,NA,293
21013D103,5,NA,262
21013D104,5,NA,140
21013D105,5,NA,215
21013D106,5,NA,325
21013E101,5,NA,395
21013E102,5,NA,226
21013E103,5,NA,273
21013E104,5,NA,314
21013E105,5,NA,279
21013E106,5,NA,335
21015A102,4,76,343
21015A103,4,174,909
21015A104,4,155,813
21015A105,4,107,404
21015A106,4,90,383
21015A107,4,73,254
21015A108,4,204,782
21015A109,4,270,804
21015A110,4,107,444
21015A111,4,266,632
21015A112,4,148,511
21015A113,4,262,676
21015A114,4,267,1015
21015A115,4,247,836
21015A116,4,118,452
21015A117,4,256,970
21015A118,4,137,624
21015A119,4,83,277
